iter	Passed	Remaining
0	3	2093
1	6	1832
2	8	1754
3	10	1594
4	12	1500
5	14	1472
6	16	1430
7	19	1420
8	21	1407
9	23	1381
10	25	1365
11	27	1345
12	29	1346
13	32	1339
14	34	1333
15	36	1335
16	38	1327
17	40	1320
18	42	1311
19	44	1301
20	46	1291
21	48	1284
22	51	1296
23	53	1287
24	56	1290
25	58	1293
26	60	1291
27	62	1286
28	65	1295
29	67	1290
30	69	1284
31	71	1274
32	73	1267
33	75	1262
34	77	1253
35	79	1246
36	81	1244
37	83	1240
38	85	1235
39	87	1228
40	89	1220
41	91	1213
42	93	1207
43	95	1200
44	97	1196
45	99	1192
46	100	1186
47	102	1180
48	104	1176
49	106	1172
50	108	1167
51	110	1162
52	112	1157
53	114	1154
54	116	1151
55	118	1150
56	120	1146
57	122	1142
58	124	1138
59	125	1133
60	127	1130
61	130	1128
62	131	1124
63	133	1119
64	135	1116
65	137	1112
66	139	1109
67	141	1105
68	143	1101
69	144	1097
70	146	1094
71	148	1091
72	150	1089
73	152	1085
74	154	1081
75	156	1078
76	158	1074
77	159	1070
78	161	1067
79	163	1064
80	165	1061
81	167	1058
82	169	1055
83	171	1051
84	172	1048
85	174	1044
86	175	1034
87	177	1033
88	179	1030
89	181	1026
90	182	1023
91	184	1020
92	186	1017
93	188	1014
94	190	1011
95	191	1007
96	193	1005
97	195	1002
98	197	999
99	199	996
100	201	993
101	202	990
102	204	987
103	206	984
104	208	981
105	210	979
106	212	978
107	214	976
108	216	973
109	217	971
110	219	968
111	221	965
112	223	962
113	225	961
114	227	958
115	229	955
116	230	953
117	232	950
118	234	948
119	236	945
120	238	942
121	240	941
122	242	939
123	244	937
124	246	936
125	248	934
126	250	931
127	251	929
128	253	926
129	255	925
130	257	923
131	259	921
132	261	918
133	263	916
134	265	914
135	267	911
136	269	909
137	271	907
138	273	906
139	275	903
140	276	901
141	278	898
142	280	896
143	282	893
144	284	892
145	286	889
146	288	888
147	290	886
148	291	883
149	293	881
150	295	878
151	297	876
152	299	874
153	301	872
